Chinese; English
圣何塞州立大学; San Jose State University
爱达荷州立大学; Idaho State University
俄克拉荷马州立大学; Oklahoma State University
加州州立理工大学; California Polytechnic State University, San Luis Obispo
奥克兰大学; Oakland University
艾伯林基督大学; Abilene Christian University
东北伊利诺伊大学; Northeastern Illinois University
路易斯安那州立大学; Louisiana State University
圣路易斯大学; Saint Louis University
德克萨斯国际农工大学; Texas A&M International University
密苏里大学-堪萨斯分校; University of Missouri-Kansas City
北卡罗莱纳农工州立大学; North Carolina A&T State University
圣地亚哥州立大学; San Diego State University
北德克萨斯州大学; University of North Texas
加州州立大学北岭分校; California State University, Northridge
德克萨斯大学达拉斯分校; University of Texas at Dallas
俄亥俄大学; Ohio University
佛罗里达海湾海岸大学; Florida Gulf Coast University
陶森大学; Towson University
加州州立大学东湾分校; California State University, East Bay
依隆大学; Elon University
匹兹堡州立大学; Pittsburg State University
圣莫尼卡学院; Santa Monica College
萨福克大学; Suffolk University
马里兰大学巴尔的摩分校; University of Maryland, Baltimore County
伊利诺伊理工大学; Illinois Institute of Technology
默西学院; Mercy College
罗德岛大学; University of Rhode Island
南卡罗来纳大学; University of South Carolina Upstate
安博瑞德航空航天大学（普莱斯考特）; Embry-Riddle Aeronautical University at Prescott
盖茨堡学院; Gettysburg College
华盛顿大学塔科马校区; University of Washington Tacoma
乔治梅森大学; George Mason University
蒙特克莱尔州立大学; Montclair State University
旧金山大学; University of San Francisco
瓦尔帕莱索大学; Valparaiso University
西密歇根大学; Western Michigan University
华盛顿大学贝色分校; University of Washington Bothell
加州州立大学圣贝纳迪诺分校; California State University, San Bernardino
霍夫斯特拉大学; Hofstra University
旧金山州立大学; San Francisco State University
孟菲斯大学; University of Memphis
卡梅隆大学; Cameron University
绿河学院; Green River College
朱尼亚塔学院; Juniata College
北俄亥俄大学; Ohio Northern University
俄勒冈州立大学; Oregon State University
夏威夷大学马诺阿分校; University of Hawaii at Manoa
波莫纳加州理工大学; California State Polytechnic University, Pomona
伊萨卡学院; Ithaca College
普渡大学西北分校; Purdue University Northwest
罗德学院; Rhodes College
阿肯色大学; University of Arkansas
中央密苏里大学; University of Central Missouri
马萨诸塞大学洛厄尔分校; University of Massachusetts Lowell
华盛顿州立大学; Washington State University
威斯敏斯特学院; Westminster College
艾格尼丝斯科特学院; Agnes Scott College
协和大学尔湾分校; Concordia University Irvine
德保罗大学; DePaul University
贡萨加大学; Gonzaga University
夏威夷太平洋大学; Hawaii Pacific University
长岛大学; Long Island University
路德学院; Luther College
奥罗尔罗伯茨大学; Oral Roberts University
太平洋大学; Pacific University
宾州州立大学哈里斯堡校区; Penn State Harrisburg
普渡大学维恩堡分校; Purdue University Fort Wayne
圣约翰大学; St. John's University
哈特福德大学; University of Hartford
缅因大学; University of Maine
麻省大学波士顿分校; University of Massachusetts Boston
圣地亚哥大学; University of San Diego
佛蒙特大学; University of Vermont
加州州立大学富尔顿分校; California State University, Fullerton
埃克德学院; Eckerd College
埃默里-亨利学院; Emory & Henry College
肯特州立大学; Kent State University
林肯大学; Lincoln University
俄亥俄州立大学马里昂分校; Ohio State University-Marion
宾夕法尼亚州立大学贝伦德分校; Penn State Behrend
春田学院; Springfield College
华盛顿圣三一大学; Trinity Washington University
密歇根大学弗林特分校; University of Michigan-Flint
匹兹堡大学格林斯堡分校; University of Pittsburgh at Greensburg
匹兹堡大学约翰城分校; University of Pittsburgh Johnstown
华盛顿与杰弗逊学院; Washington & Jefferson College
卫斯理学院; Wesley College
阿勒格尼学院; Allegheny College
阿卡迪亚大学; Arcadia University
亚利桑那州立大学哈瓦苏湖城分校; Arizona State University at Lake Havasu City
亚利桑那州立大学凤凰城分校; Arizona State University-Downtown Phoenix
亚利桑那州立大学坦佩分校; Arizona State University-Tempe
贝尔蒙特大学; Belmont University
巴特勒大学; Butler University
加州州立大学贝克斯菲尔德分校; California State University, Bakersfield
凯尔文学院; Calvin University
中央华盛顿大学; Central Washington University
中心学院; Centre College
卡罗来纳海岸大学; Coastal Carolina University
康奈尔学院; Cornell College
纽约市立大学柏鲁克分校; CUNY Baruch College
德雷克大学; Drake University
德鲁大学; Drew University
厄勒姆学院; Earlham College
埃迪柯特学院; Endicott College
哈姆林大学; Hamline University
洛拉斯学院; Loras College
缅因州海事学院; Maine Maritime Academy
北亚利桑那大学; Northern Arizona University
佩斯大学; Pace University
太平洋路德大学; Pacific Lutheran University
棕榈海滩大西洋大学; Palm Beach Atlantic University
宾州州立大学艾宾顿分校; Penn State Abington
宾州州立大学阿尔图纳校区; Penn State Altoona
宾州州立大学贝克斯校区; Penn State Berks
宾州州立大学布兰德万河校区; Penn State Brandywine
宾夕法尼亚州立大学约克分校; Penn State York
宾夕法尼亚州立大学里海谷分校; Pennsylvania State Lehigh Valley
普渡大学-印第安纳波利斯普渡理工学院; Purdue University - Purdue Polytechnic Indianapolis
瑞吉斯大学; Regis University
圣文森特学院; Saint Vincent College
西门子学院; Simmons University
南卡罗来纳州立大学; South Carolina State University
圣劳伦斯大学; St. Lawrence University
纽约州立大学奥尔巴尼分校; SUNY Albany
伍斯特学院; The College of Wooster
联合大学; Union University
辛辛那提大学; University of Cincinnati
密歇根大学迪尔伯恩分校; University of Michigan-Dearborn
明尼苏达大学克鲁斯丁分校; University of Minnesota Crookston
明尼苏达大学德卢斯分校; University of Minnesota Duluth
明尼苏达大学罗切斯特分校; University of Minnesota-Rochester
明尼苏达大学莫里斯分校; University of Minnesota, Morris
纽黑文大学; University of New Haven
波特兰大学; University of Portland
雷德兰兹大学; University of Redlands
圣托马斯大学; University of St Thomas
威斯康星大学奥什科什分校; University of Wisconsin-Oshkosh
威斯康星大学斯托特分校; University of Wisconsin-Stout
惠特沃斯大学; Whitworth University
阿斯伯里大学; Asbury University
本宁顿学院; Bennington College
麻省医药与健康科学学院; Massachusetts College of Pharmacy and Health Sciences
奥城大学; Oklahoma City University
宾州州立大学阿宾顿校区; Penn State University Abington
宾州州立大学贝伦德分校; Penn State University Beaver
宾州州立大学约克校区; Penn State University York
斯普林阿伯大学; Spring Arbor University
罕布什尔学院; Hampshire College
林菲尔德大学; Linfield University
富兰克林欧林工程学院; Franklin W Olin College of Engineering
迈阿密大学（俄亥俄）; Miami University (Ohio)
明尼阿波利斯社区技术学院; Minneapolis Community and Technical College
保伯琼斯大学; Bob Jones University
AA建筑联盟学院; Architectural Association School of Architecture
加州艺术学院（CAL Arts）; California Institute of the Arts
埃克塞特大学; University of Exeter
韦仕敦大学; Western University
西蒙菲莎大学; Simon Fraser University
加拿大康考迪亚大学; Concordia University
迪吉彭理工学院; DigiPen Institute of Technology
马里兰大学全球校区; University of Maryland Global Campus
伦敦大学金史密斯学院; Goldsmiths, University of London
肯特大学; University of Kent
墨尔本大学; The University of Melbourne
渥太华大学	; University of Ottawa
美国MI现代音乐学院; MI College of Contemporary Music
上海纽约大学; New York University Shanghai
阿姆斯特丹大学; University of Amsterdam
昆士兰大学; University of Queensland
麦克马斯特大学; McMaster University
上海交通大学; Shanghai Jiao Tong University
北京大学; Peking University
清华大学; Tsinghua University
宁波诺丁汉大学; University of Nottingham Ningbo China
萨里大学; University of Surrey
女王大学; Queen's University
伦敦大学亚非学院; SOAS University of London
瑞士洛桑酒店管理学院; Ecole Hoteliere de Lausanne
阿伯丁大学; University of Aberdeen
亚伯大学; Aberystwyth University
韦仕敦大学国王大学学院; King's University College at Western University
苏黎世联邦理工学院; Swiss Federal Institute of Technology in Zurich
上海外国语大学贤达经济人文学院; Xianda College of Economics and Humanities Shanghai International Studies University
立命馆亚洲太平洋大学; APU
圭尔夫大学; University of Guelph
中山大学; Sun Yat-sen University
哥伦比亚大学-都柏林圣三一学院双学位项目; 哥伦比亚大学-都柏林圣三一学院双学位项目
哥伦比亚大学-巴黎政治学院双学位项目; Dual BA Program Between Columbia University and Sciences Po
哥伦比亚大学-特拉维夫大学双学位项目; 哥伦比亚大学-特拉维夫大学双学位项目
西蒙菲莎大学; Simon	 Fraser University
香港中文大学（深圳）; The Chinese University of Hong Kong, Shenzhen
布鲁克大学; Brock University
东京庆应义塾大学; Keio University (Tokyo)
上海财经大学; Shanghai University of Finance and Economics
巴黎政治大学; Institut d'Etudes Politiques de Paris
西交利物浦大学; Xi’an Jiaotong-liverpool University
伦敦国王学院; King's College London
都柏林大学; University College Dublin
多伦多大学密西沙加校区; University of Toronto at Mississauga
代尔夫特理工大学; Technische Universiteit Delft
贝尔法斯特女王大学; Queen's University Belfast
澳大利亚国立大学; The Australian National University
克里夫兰艺术学院; Cleveland Institute of Art
北京师范大学-香港浸会大学联合国际学院; United International College(UIC)
悉尼科技大学; University of Technology Sydney
加拿大皇后大学; Queen’s University
伯明翰城市大学; Birmingham City University
伦敦城市大学; London Metropolitan University
康考迪亚大学; Concordia University
皇家兽医学院; Royal Veterinary College
阿尔伯塔大学; University of Alberta
欧洲高等商学院; ESCP Business School
鹿特丹伊拉斯姆斯大学; Erasmus University Rotterdam
宾州州立大学阿宾顿分校; The Pennsylvania State University Abington
阿德莱德大学; The University of Adelaide
同志社大学; Doshisha University
赫特福德大学; University of Herfordshire
金斯顿大学; Kingston University
伯恩茅斯艺术大学; Arts University Bournemouth
布莱顿大学; University of Brighton
利兹艺术大学; Leeds Arts University
考文垂大学; Coventry University
阿斯顿大学; Aston University
基尔大学; Keele University
上智大学; Sophia University
芝加哥哥伦比亚学院; Columbia College Chicago
达尔豪斯大学; Dalhousie University
瑞士理诺士国际酒店管理学院; Les Roches Inernational School of Hotel Management
劳瑞尔大学; Whifrid Laurier University
新加坡管理大学; Singapore Management University
米兰路易吉·博科尼大学; Bocconi University
昆山杜克大学; Duke Kunshan University
北京理工大学; Beijing Institute of Technology
都柏林圣三一大学; 都柏林圣三一大学
阿尔伯塔艺术设计学院; 阿尔伯塔艺术设计学院
艾米丽卡尔艺术设计学院; 艾米丽卡尔艺术设计学院
卡尔顿大学; 卡尔顿大学
九州大学; Kyushu University
泰莱大学; Taylor`s university
多伦多大学世嘉堡校区; University of Toronto Scarborough
哥伦比亚大学通识学院; 哥伦比亚大学通识学院
卡内基梅隆大学卡塔尔分校; 卡内基梅隆大学卡塔尔分校
米兰新美术学院; Nuova Accademia di belle arti di MILANO
法国里昂商学院; EMLYON Business School
邓迪大学; University of Dundee
伦敦大学伯贝克学院; Birkbeck, University of London
谢菲尔德哈勒姆大学; Sheffield Hallam University
伯明翰大学学院; University College Birmingham
维多利亚大学; University of Victoria
威斯敏斯特大学; University of Westminster
早稻田大学; Waseda University
香港都会大学; Hong Kong Metropolitan University
香港恒生大学; The Hang Seng University of Hong Kong
格罗宁根大学; University of Groningen
提赛德大学; Teesside University
诺丁汉特伦特大学; Nottingham Trent University
马兰戈尼学院; Istituto Marangoni
安大略艺术设计学院; Ontario College of Art & Design University
利兹音乐学院; Leeds Conservatoire
伯恩茅斯大学; Bournemouth University
安格利亚鲁斯金大学; Anglia Ruskin University
福赛大学; Full Sail University
西澳大学; University of Western Australia
普利茅斯艺术学院; Plymouth College of Art
赫瑞-瓦特大学; Heriot-Watt University
北安普顿大学; The University of Northampton
曼尼托巴大学; University of Manitoba
多伦多都会大学; Toronto Metropolitan University
牛津布鲁克斯大学; Oxford Brookes University
科廷大学新加坡校区; Curtin Singapore
昆士兰科技大学; Queensland University of Technology
乌特勒支大学; Utrecht University
莱顿大学; Leiden University
蒙纳士大学马来西亚校区; Monash University Malaysia
德蒙福特大学; De Montfort University
曼彻斯特城市大学; Manchester Metropolitan University
卡尔加里大学; University of Calgary
冈山大学; Okayama University
格里昂高等教育学院; Glion Institute of Higher Education
瑞士酒店管理学院; Swiss Hotel Management School
瑞士蒙特勒酒店工商管理大学; Hotel Institute Montreux
法国北方高等商学院; EDHEC Business School
赫尔大学; 赫尔大学
埃塞克高等商学院; ESSEC Business School
皇家墨尔本理工大学; Royal Melbourne Institute of Technology
哈德斯菲尔德大学; University of Huddersfield
班戈大学; Bangor University
日本大学; Nihon University
武藏野美术大学; Musashino Art University
西沃恩南方大学; Sewanee: The University of the South
斯特灵大学; University of Stirling
西英格兰大学; University of the West of England
皇家中央演讲和戏剧学院; Royal Central School of Speech & Drama
埃因霍芬理工大学; Eindhoven University of Technology
新加坡拉萨尔艺术学院; LASALLE College of the Arts
迪肯大学; Deakin University
詹姆斯-库克大学; James Cook University
诺瓦艺术与设计大学; Nova Scotia College of Art and Design University
诺丁汉大学马来西亚校区; University of Nottingham Malaysia 
奥克兰理工大学; Auckland University of Technology
西伦敦大学; University of West London 
奥塔哥大学; University of Otago
桑德兰大学; University of Sunderland
利兹贝克特大学; Leeds Beckett University
坎特伯雷大学; University of Canterbury
伍伦贡大学; University of Wollongong
瓦赫宁根大学; Wageningen University & Research
阿姆斯特丹自由大学; Vrije University Amsterdam
温莎大学; University of Windsor
爱德华王子岛大学; University of Prince Edward Island
谢尔丹学院; Sheridan College
澳门城市大学; City University of Macau
格里菲斯大学; Griffith University
格里昂酒店管理学院; Glion Institute of Higher Education
英国皇家威尔士音乐戏剧学院; Royal Welsh College of Music  and Drama
纽芬兰纪念大学; Memorial University of Newfoundland
萨塞克斯大学(英国); University of Sussex
麦考瑞大学; Macquarie University
奥克兰大学; University of Auckland
圣三一拉邦音乐舞蹈学院; Trinity Laban Conservatoire of Music and Dance
特文特大学; University of Twente
马斯特里赫特大学; Maastricht University
新南威尔士大学; The University of New South Wales
利物浦约翰摩尔大学; Liverpool John Moores University
约克大学; York University
爱尔兰高威大学; University of Galway
巴斯大学; University of Bath
立命馆大学; Ritsumeikan University
皇家北方音乐学院; Royal Northern College of Music
堪培拉大学; University of Canberra
瑞士美食艺术管理大学; Culinary Arts Academy
怀卡托大学; The University of Waikato
东京理科大学; Tokyo University of Science
关西大学; Kansai University
斯旺西大学; Swansea University
市政厅音乐及戏剧学院; Guildhall School of Music & Drama
创意设计学院; College for Creative Studies
京都精华大学; Kyoto Seika University
梅特电影学院; Met Film School
美国纽约利姆时尚商业管理学院; LIM College
京都艺术大学; Kyoto University of the Arts
特伦特大学; Trent University
多伦多大学圣乔治校区; University of Toronto-St. George
梅西大学; Massey University
惠灵顿维多利亚大学; Victoria University of Wellington
塔斯马尼亚大学; University of Tasmania
香港树仁大学; Hong Kong Shue Yan University
新加坡管理学院; Singapore Institute of Management
伦敦布鲁内尔大学; Brunel University London
Georgetown University in Qatar; Georgetown University in Qatar
纽布伦斯威克大学; University of New Brunswick
安大略理工大学; University of Ontario Institute of Technology
里贾纳大学; University of Regina
湖首大学; Lakehead University
东英吉利大学; UEA
韩国科学技术院; Korea Advanced Institute of Science and Technology
筑波大学; University of Tsukuba
美国戏剧学校; American Conservatory Theater
坎伯韦尔艺术学院; Camberwell College of Arts
奇切斯特大学; University of Chichester
马萨诸塞大学波士顿分校; University of Massachusetts Boston
劳伦森大学; Laurentian University
新加坡PSB学院; PSB Academy
国际基督教大学; International Christian University
考陶尔德艺术学院; The Courtauld lnstitute of Art
立教大学; Rikkyo University
日本天普大学; Temple University, Japan Campus
中央大学; Chuo University
哥伦比亚GS学院; Columbia University School of General Studies
诺森比亚大学; University of Northumbria at Newcastle
法国时尚艺术与技术高等学院; Ecole Supérieure des Arts et Techniques de la Mode
慕尼黑工业大学; Technical University of Munich
马来亚大学; University of Malaya
巴黎综合理工学院; École Polytechnique
伦敦大学皇家音乐学院; Royal Academy of Music
伊迪斯·科文大学; Edith Cowan University
高丽大学; Korea University
东伦敦大学; University of East London
法政大学; Hosei University
东洋大学; Toyo University
东海大学; Tokai University
顺天堂大学; Juntendo University
帝京大学; Teikyo University
科廷大学; Curtin University
普利茅斯大学; University of Plymouth
亚琛工业大学; RWTH Aachen University
哥廷根大学; University of Göttingen
伊斯曼音乐学院; Eastman School of Music
卡迪夫城市大学; Cardiff Metropolitan University
恺撒里兹酒店管理学院; Cesar Ritz Colleges Switzerland.
巴黎理工学院; Institut polytechnique de Paris
德克萨斯农工大学学院站分校; Texas A&M University, College Station
特威克南圣玛丽大学; St Mary's University, Twickenham
关西学院大学; Kwansei Gakuin University
明治大学; Meiji University
学习院大学; Gakushuin University
延世大学; Yonsei University
NHTV布雷达大学; NHTV Breda University of Applied Sciences
马来西亚国立大学; The National University of Malaysia
南洋艺术学院; Nanyang Academy of Fine Arts
纽卡斯尔大学; University of Newcastle
北不列颠哥伦比亚大学; University of Northern British Columbia
中央大学; Chung-Ang University
科廷大学马来西亚校区; Curtin University, Malaysia
宾州州立大学伊利比伦德学院; Penn State Erie, The Behrend College
荷语鲁汶大学; Katholieke Universiteit Leuven
德比大学; University of Derby
香农理工大学; Technological University of the Shannon: Midlands Midwest
理诺士酒店管理学院; Les RochesGlobal Hospitality Education
美国音乐戏剧学院; American Musical and Dramatic Academy
密歇根大学罗斯商学院; Michigan Ross School of Business
圣乔治大学; St George's, University of London
爱尔兰国立科克大学; University College Cork
美国东北大学伦敦校区; Northeastern University London
罗汉普顿大学; University of Roehampton
韦仕敦大学毅伟商学院; Richard Ivey School of Business, University of Western Ontario
澳大利亚音乐学院; Australian Institute of Music
SKEMA商学院; SKEMA (School of Knowledge Economy and Management)
